"school_name";"koreaS_code";"school_code"
"배영초등학교";"J10";7561026
"백마고등학교";"J10";7530066
"백마중학교";"J10";7621020
"백마초등학교";"J10";7621063
"백문초등학교";"J10";7652077
"백봉초등학교";"J10";7751083
"백사중학교";"J10";7741007
"백사초등학교";"J10";7741022
"백석고등학교";"J10";7530067
"백석중학교";"J10";7621021
"백성초등학교";"J10";7761030
"백송고등학교";"J10";7531057
"백송초등학교";"J10";7621297
"백신고등학교";"J10";7530068
"백신중학교";"J10";7621022
"백신초등학교";"J10";7621064
"백암고등학교";"J10";7530650
"백암중학교";"J10";7751026
"백암초등학교";"J10";7751084
"백양고등학교";"J10";7530472
"백양중학교";"J10";7621023
"백양초등학교";"J10";7621065
"백영고등학교";"J10";7530157
"백운고등학교";"J10";7530069
"백운중학교";"J10";7642042
"백운초등학교";"J10";7642020
"백운호수초등학교";"J10";7642141
"백의초등학교";"J10";7701013
"백학중학교";"J10";7701006
"백학초등학교";"J10";7701014
"백현중학교";"J10";7551016
"백현초등학교";"J10";7551062
"버들개초등학교";"J10";7561074
"번천초등학교";"J10";7692021
"벌말초등학교";"J10";7569023
"벌원초등학교";"J10";7692115
"범계중학교";"J10";7569059
"범계초등학교";"J10";7569024
"범박고등학교";"J10";7530763
"범박중학교";"J10";7581289
"범박초등학교";"J10";7581049
"법원여자중학교";"J10";7681007
"벽제초등학교";"J10";7621066
"별가람고등학교";"J10";7531247
"별가람중학교";"J10";7652250
"별가람초등학교";"J10";7652273
"별내고등학교";"J10";7531113
"별내중학교";"J10";7652079
"별내초등학교";"J10";7652080
"별망중학교";"J10";7611029
"별망초등학교";"J10";7611045
"병점고등학교";"J10";7530627
"병점중학교";"J10";7679110
"병점초등학교";"J10";7679030
"보개초등학교";"J10";7761031
"보라고등학교";"J10";7530882
"보라중학교";"J10";7751194
